country,life_expectancy_at_60_males,birth_rate_2017,region
Afghanistan,15.6,33.2,South Asia
Albania,20.5,11.9,Europe & Central Asia
Algeria,21.5,24.9,Middle East & North Africa
Angola,16.5,41.3,Sub-Saharan Africa
Antigua and Barbuda,20.4,15.5,Latin America & Caribbean
Argentina,19.1,17.2,Latin America & Caribbean
Armenia,17.7,14.3,Europe & Central Asia
Aruba,18.3,11.5,Latin America & Caribbean
Australia,24.1,12.4,East Asia & Pacific
Austria,22.7,10,Europe & Central Asia
Azerbaijan,16.7,14.6,Europe & Central Asia
Bahamas,20.9,14.1,Latin America & Caribbean
Bahrain,19.3,14.4,Middle East & North Africa
Bangladesh,18.9,18.5,Europe & Central Asia
Barbados,18.2,10.7,Latin America & Caribbean
Belarus,15.4,10.8,Europe & Central Asia
Belgium,22.4,10.5,Europe & Central Asia
Belize,15.9,21.1,Latin America & Caribbean
Benin,16.6,36.6,Sub-Saharan Africa
Bhutan,20.9,17.5,Sub-Saharan Africa
Bolivia,20.2,22.1,Latin America & Caribbean
Bosnia and Herzegovina,19.1,8.3,Europe & Central Asia
Botswana,16.4,25.4,Sub-Saharan Africa
Brazil,20.4,14.1,Latin America & Caribbean
Brunei Darussalam,19.8,15.4,Sub-Saharan Africa
Bulgaria,17.5,9,Europe & Central Asia
Burkina Faso,15,38.4,Sub-Saharan Africa
Burundi,16,39.7,Sub-Saharan Africa
Cabo Verde,17.3,19.9,Sub-Saharan Africa
Cambodia,16.5,22.9,East Asia & Pacific
Cameroon,16.5,35.9,Sub-Saharan Africa
Canada,23.8,10.3,North America
Central African Republic,15.3,16.1,Sub-Saharan Africa
Central Europe and the Baltics,17.5,10.2,Europe & Central Asia
Chad,15.4,42.7,Sub-Saharan Africa
Channel Islands,22.2,9.9,North America
Chile,21.7,12.7,Latin America & Caribbean
China,18.9,12.4,East Asia & Pacific
Colombia,20.5,15.1,Latin America & Caribbean
Comoros,15.5,32.4,Sub-Saharan Africa
"Congo, DemRep",16.4,41.7,Sub-Saharan Africa
"Congo, Rep",17.7,33.4,Sub-Saharan Africa
Costa Rica,22.9,14.3,Latin America & Caribbean
Cote d'Ivoire,14.2,36,Sub-Saharan Africa
Croatia,18.8,8.9,Europe & Central Asia
Cuba,22.3,10.4,Latin America & Caribbean
Curacao,21.4,9.7,Latin America & Caribbean
Cyprus,21.1,10.7,Europe & Central Asia
Czech Republic,19.8,10.8,Europe & Central Asia
Denmark,22.1,10.6,Europe & Central Asia
Djibouti,16.9,21.9,Sub-Saharan Africa
Dominica,13.9,25.6,Latin America & Caribbean
Dominican Republic,20.8,19.8,Latin America & Caribbean
"Egypt, Arab Rep",16.3,27.1,Middle East & North Africa
El Salvador,20.4,18.4,Latin America & Caribbean
Equatorial Guinea,16.4,33.7,Sub-Saharan Africa
Eritrea,15.5,30.9,Sub-Saharan Africa
Estonia,18.8,10.5,Europe & Central Asia
Eswatini,14.6,26.8,Sub-Saharan Africa
Ethiopia,17.5,32.8,Sub-Saharan Africa
Finland,22.5,9.1,Europe & Central Asia
France,23.7,32.9,Europe & Central Asia
French Polynesia,19.5,15,East Asia & Pacific
Gabon,17.9,32.2,Sub-Saharan Africa
Georgia,16.5,13.7,Europe & Central Asia
Germany,22.2,9.5,Europe & Central Asia
Ghana,15.2,29.8,Sub-Saharan Africa
Greece,22.3,8.2,Europe & Central Asia
Grenada,17.9,16.7,Latin America & Caribbean
Guam,20.6,16.7,East Asia & Pacific
Guatemala,21,24.9,Latin America & Caribbean
Guinea,15,36.8,Sub-Saharan Africa
Guinea-Bissau,14.7,35.7,Sub-Saharan Africa
Guyana,15.5,20.2,Latin America & Caribbean
Haiti,17,24.8,Latin America & Caribbean
Honduras,21.1,21.9,Latin America & Caribbean
"Hong Kong SAR, China",23.8,7.7,South Asia
Hungary,17.9,9.7,Europe & Central Asia
Iceland,23.9,11.9,Europe & Central Asia
India,17.3,18.1,South Asia
Indonesia,15.4,18.4,East Asia & Pacific
"Iran, Islamic Rep.",19.7,19,Middle East & North Africa
Iraq,16.3,29.7,Middle East & North Africa
Ireland,22.4,12.9,Europe & Central Asia
Israel,23.7,21.1,Europe & Central Asia
Italy,23.7,7.6,Europe & Central Asia
Jamaica,21.3,16.3,Latin America & Caribbean
Japan,23.6,7.6,East Asia & Pacific
Jordan,18.2,22.6,Middle East & North Africa
Kazakhstan,14.6,21.6,Europe & Central Asia
Kenya,17.9,29.3,Sub-Saharan Africa
Kiribati,15.6,28.3,Sub-Saharan Africa
"Korea, DemPeople Rep",14.5,13.9,South Asia
"Korea, Rep",22.5,7,South Asia
Kyrgyz Republic,15.6,24.8,Europe & Central Asia
Lao PDR,16,24,Sub-Saharan Africa
Lesotho,14.4,27.2,Sub-Saharan Africa
Liberia,15.2,33.4,Sub-Saharan Africa
Libya,17,19.4,Sub-Saharan Africa
Liechtenstein,21,8.9,Europe & Central Asia
Lithuania,17.3,10.1,Europe & Central Asia
"Macao SAR, China",23.6,11.2,East Asia & Pacific
Madagascar,16.5,32.9,Sub-Saharan Africa
Malawi,16.9,34.6,Sub-Saharan Africa
Malaysia,18.9,16.9,East Asia & Pacific
Maldives,20,14.9,East Asia & Pacific
Mali,15.4,42.1,East Asia & Pacific
Malta,22.1,9.2,Europe & Central Asia
Mauritius,18.5,10.7,Sub-Saharan Africa
Mexico,22.1,17.9,Latin America & Caribbean
Micronesia,16.5,22.9,East Asia & Pacific
Montenegro,19.1,11.8,Europe & Central Asia
Morocco,19.7,19.4,Middle East & North Africa
Mozambique,16.4,37.9,Sub-Saharan Africa
Myanmar,15.8,17.7,East Asia & Pacific
Netherlands,22.9,9.9,Europe & Central Asia
New Caledonia,18.9,14.5,East Asia & Pacific
New Zealand,23.7,12.4,East Asia & Pacific
Nicaragua,21.7,21.1,Latin America & Caribbean
Niger,15.6,46.5,Sub-Saharan Africa
Nigeria,13.8,38.4,Sub-Saharan Africa
Papua New Guinea,15.2,27.4,East Asia & Pacific
Paraguay,20.2,20.8,Latin America & Caribbean
Peru,20.3,18.1,Latin America & Caribbean
Philippines,15.6,21,East Asia & Pacific
Portugal,22.3,8.4,Europe & Central Asia
Puerto Rico,21.8,7.3,Latin America & Caribbean
Qatar,20.6,9.7,Middle East & North Africa
Romania,18.3,9.7,Europe & Central Asia
Russian Federation,15.8,12.9,Europe & Central Asia
Rwanda,17.8,32.1,Sub-Saharan Africa
Samoa,17.7,24.7,Sub-Saharan Africa
Sao Tome and Principe,17.6,32,East Asia & Pacific
Saudi Arabia,17.9,18.3,Middle East & North Africa
Senegal,15.9,35.1,Sub-Saharan Africa
Serbia,17.7,9.2,Europe & Central Asia
Seychelles,17.1,17.2,Sub-Saharan Africa
Sierra Leone,13.3,33.9,Sub-Saharan Africa
Singapore,23.6,8.9,East Asia & Pacific
Slovak Republic,18.5,10.7,Europe & Central Asia
Slovenia,21.6,9.8,Europe & Central Asia
Solomon Islands,16.9,32.9,East Asia & Pacific
Somalia,15.7,41.9,Sub-Saharan Africa
South Africa,14.2,20.9,Sub-Saharan Africa
South Sudan,16.1,35.4,Sub-Saharan Africa
Spain,23.4,8.4,Europe & Central Asia
Sri Lanka,19.7,16.1,South Asia
St. Lucia,19.8,12.1,East Asia & Pacific
St. Vincent and the Grenadines,19.2,14.4,East Asia & Pacific
Sudan,17.3,32.5,Sub-Saharan Africa
Suriname,16.9,18.8,Latin America & Caribbean
Sweden,23.5,11.5,Europe & Central Asia
Vietnam,19.9,17,South Asia
Vanuatu,17.1,30,East Asia & Pacific
Uzbekistan,16.5,13.3,East Asia & Pacific
Uruguay,19.5,14,Latin America & Caribbean
Turkey,19.2,16.3,Europe & Central Asia
United Arab Emirates,20,10.5,Middle East & North Africa
Ukraine,15.7,9.4,Europe & Central Asia
Uganda,16.6,39,Sub-Saharan Africa
Tunisia,18.7,18,Sub-Saharan Africa
Trinidad and Tobago,16.2,22.1,Latin America & Caribbean
Venezuela,19.1,18.2,Latin America & Caribbean
Togo,14.8,33.6,Sub-Saharan Africa
